"MatchType","Ctype","Desc","CrimeCat"
"c","ARSON"," ","ARSON"
"c","ASSAULT"," ","ASSAULT"
"d"," ","BATTERY","ASSAULT_BATTERY"
"cd","ASSAULT","BATTERY","ASSAULT_BATTERY"
"cd","ASSAULT","BATTERY_W_SERIOUS_BODILY_INJURY","ASSAULT_BATTERY"
"cd","FELONY_ASSAULT","BATTERY_W_SERIOUS_BODILY_INJURY","ASSAULT_BATTERY"
"d"," ","ASSAULT_WITH_FIREARM_ON_PERSON","ASSAULT_FIREARM"
"cd","ASSAULT","ADW_NOT_F_ARM_PO_FIRE_GBI","ASSAULT_FIREARM"
"cd","ASSAULT","ADW_WITH_FORCE__POSSIBLE_GBI","ASSAULT_FIREARM"
"cd","ASSAULT","ANYONE_WHO_WILLFULLY_DISCHARGES_A_FIREARM_IN_A_GROSSLY_NEGLIGENT_MANNER","ASSAULT_FIREARM"
"cd","ASSAULT","ASSAULT_PERSON_WITH_A_SEMIAUTOMATIC_FIREARM","ASSAULT_FIREARM"
"cd","ASSAULT","ASSAULT_WITH_FIREARM_ON_PERSON","ASSAULT_FIREARM"
"cd","ASSAULT","EXHIBIT_FIREARM","ASSAULT_FIREARM"
"cd","ASSAULT","SHOOT_AT_INHABITED_DWELLING_VEHICLE_ETC","ASSAULT_FIREARM"
"cd","ASSAULT","SHOOT_AT_UNOCCUPIED_DWELLING_VEHICLE_ETC","ASSAULT_FIREARM"
"cd","ASSAULT","WILLFUL_DISCHARGE_FIREARM_IN_NEGLIGENT_MANNER","ASSAULT_FIREARM"
"cd","FELONY_ASSAULT","ASSAULT_PERSON_WITH_A_SEMIAUTOMATIC_FIREARM","ASSAULT_FIREARM"
"cd","FELONY_ASSAULT","ASSAULT_WITH_FIREARM_ON_PERSON","ASSAULT_FIREARM"
"cd","FELONY_ASSAULT","SHOOT_AT_INHABITED_DWELLING_VEHICLE_ETC","ASSAULT_FIREARM"
"cd","FELONY_ASSAULT","SHOOT_AT_UNOCCUPIED_DWELLING_VEHICLE_ETC","ASSAULT_FIREARM"
"cd","FELONY_ASSAULT","WILLFUL_DISCHARGE_FIREARM_IN_NEGLIGENT_MANNER","ASSAULT_FIREARM"
"cd","FELONY_ASSAULT","EXHIBIT_FIREARM","ASSAULT_FIREARM"
"cd","ASSAULT","FORCE_ADW_KNIFE_GBI","ASSAULT_KNIFE"
"cd","FELONY_ASSAULT","FORCE_ADW_KNIFE_GBI","ASSAULT_KNIFE"
"c","MISDEMEANOR_ASSAULT",,"ASSAULT_MISDEMEANOR"
"d"," ","FORCE_ADW_OTHER_DANGEROUS_WEAPON_GBI","ASSAULT_OTHER-WEAPON"
"cd","ASSAULT","EXHIBIT_DEADLY_WEAPON_OTHER_THAN_FIREARM","ASSAULT_OTHER-WEAPON"
"cd","ASSAULT","FORCE_ADW_OTHER_DANGEROUS_WEAPON_GBI","ASSAULT_OTHER-WEAPON"
"cd","FELONY_ASSAULT","FORCE_ADW_OTHER_DANGEROUS_WEAPON_GBI","ASSAULT_OTHER-WEAPON"
"cd","FELONY_ASSAULT","EXHIBIT_DEADLY_WEAPON_OTHER_THAN_FIREARM","ASSAULT_OTHER-WEAPON"
"cd","FELONY_ASSAULT","ASSAULT_WITH_CAUSTIC_CHEMICAL_ETC","ASSAULT_OTHER-WEAPON"
"d"," ","THREAT_CRIME_INT_TERRORIZE","ASSAULT_THREATS"
"d",,"CRIMINAL_THREATS__THREATED_CRIME_W_INTENT_TO_TERRORIZE","ASSAULT_THREATS"
"d"," ","VIOLATION_CUSTODY_DECREE","COURT_CUSTODY"
"d"," ","CONTEMPT_OF_COURT_DISOBEY_COURT_ORDER_ETC","COURT_ORDER"
"d"," ","VOL_PROTECTIVE_ORDER_MNR","COURT_ORDER"
"d",,"MISDEMEANOR_WARRANT","COURT_MISDEMEANOR"
"d"," ","VIOLATION_PAROLE_FELONY","COURT_PAROLE"
"d"," ","VIOLATION_OF_PROBATION_FELONY","COURT_PROBATION"
"d"," ","VIOLATION_OF_PROBATION_MISD","COURT_PROBATION"
"d"," ","CONTEMPT_OF_COURT_VIOLATE_PROTECTIVE_ORDER_ETC","COURT_WARRANT"
"d"," ","CRIMINAL_CONTEMPT","COURT_WARRANT"
"c","DOMESTIC_VIOLENCE"," ","DOM-VIOL"
"cd","ASSAULT","BATTERY_SPOUSE_EX_SPOUSE_DATE_ETC","DOM-VIOL_BATTERY"
"cd","DOMESTIC_VIOLENCE","BATTERY_SPOUSE_EX_SPOUSE_DATE_ETC","DOM-VIOL_BATTERY"
"cd","ASSAULT","INFLICT_CORPORAL_INJURY_ON_SPOUSE_COHABITANT","DOM-VIOL_BATTERY"
"d"," ","BATTERY_SPOUSE_EX_SPOUSE_DATE_ETC","DOM-VIOL_BATTERY-SPOUSE"
"d"," ","INFLICT_CORPORAL_INJURY_ON_SPOUSE_COHABITANT","DOM-VIOL_BATTERY-SPOUSE"
"d"," ","INFLICT_CRPL_INJ_SP_COHAB","DOM-VIOL_BATTERY-SPOUSE"
"d",,"CHILD_ABUSE","DOM-VIOL_CHILD"
"d",,"CRUELTY_TO_CHILD_WITH_POSSIBLE_INJURY_OR_DEATH","DOM-VIOL_CHILD"
"d",,"INFLICT_INJ_ETC_ON_CHILD","DOM-VIOL_CHILD"
"d",,"INFLICT_INJURY_UPON_CHILD","DOM-VIOL_CHILD"
"d",,"INFLICT_INJURY_UPON_CHILD__AMENDED_","DOM-VIOL_CHILD"
"d",,"SC_CHILD_ABUSE","DOM-VIOL_CHILD"
"d",,"WILLFUL_CRUELTY_TO_CHILD","DOM-VIOL_CHILD"
"d",,"WILLFUL_CRUELTY_TO_CHILD__AMENDED_","DOM-VIOL_CHILD"
"d",,"WILLFUL_CRUELTY_TO_CHILD_POSSIBLE_INJURY_DEATH","DOM-VIOL_CHILD"
"d",,"WILLFUL_CRUELTY_TO_CHILD_WITH_POSSIBLE_INJURY_DEATH__AMENDED_","DOM-VIOL_CHILD"
"cd","HOMICIDE","MURDER","HOMICIDE"
"cd","HOMICIDE","MURDER_FIRST_DEGREE","HOMICIDE"
"cd","HOMICIDE","MURDER_FIRST_DEGREE_SHOOT_FROM_VEHICLE","HOMICIDE"
"d"," ","SC_UNEXPLAINED_DEATH","HOMICIDE_UNEXPLAINED"
"cd","HOMICIDE","SC_UNEXPLAINED_DEATH","HOMICIDE_UNEXPLAINED"
"c","KIDNAPPING"," ","KIDNAPPING"
"cd","OTHER","KIDNAPPING","KIDNAPPING"
"d"," ","BURGLARY_FORCIBLE_ENTRY","LARCENY_BURGLARY"
"d",,"BURGLARY_NO_FORCE","LARCENY_BURGLARY"
"c","BURGLARY"," ","LARCENY_BURGLARY"
"d"," ","BURGLARY_AUTO","LARCENY_BURGLARY_AUTO"
"c","BURG___AUTO",,"LARCENY_BURGLARY_AUTO"
"cd","THEFT_LARCENY","BURGLARY_AUTO","LARCENY_BURGLARY_AUTO"
"c","BURG___COMMERCIAL"," ","LARCENY_BURGLARY_COMMERCIAL"
"c","BURG___OTHER",,"LARCENY_BURGLARY_OTHER"
"c","BURGLARY__OTHER",,"LARCENY_BURGLARY_OTHER"
"c","BURGLARY__UNSPECIFIED",,"LARCENY_BURGLARY_OTHER"
"c","BURG___RESIDENTIAL"," ","LARCENY_BURGLARY_RESIDENTIAL"
"d"," ","THEFT_BY_USE_OF_ACCESS_CARD","LARCENY_FORGERY-COUNTERFEIT"
"c","FORGERY___COUNTERFEITING"," ","LARCENY_FORGERY-COUNTERFEIT"
"cd","OTHER","USE_ANOTHER_S_PERSONAL_IDENTIFICATION_TO_OBTAIN_CREDIT_ETC_","LARCENY_FRAUD"
