"PC0","Freq","CrimeCat"
"(211",83,"ROBBERY"
"(664",13,"(attempt)"
"10851",1,"LARCENY_THEFT_VEHICLE_AUTO"
"10851(a)",3,"LARCENY_THEFT_VEHICLE_AUTO"
"10851(a)vc",2,"LARCENY_THEFT_VEHICLE_AUTO"
"10851vc",5,"LARCENY_THEFT_VEHICLE_AUTO"
"187",136,"HOMICIDE"
"187-homicide",1,"HOMICIDE"
"187(a)",12,"HOMICIDE"
"18710(a)",1,"HOMICIDE"
"187p.c.",1,"HOMICIDE"
"187pc-homicide",2,"HOMICIDE"
"187pcx2",1,"HOMICIDE"
"20001",7,"TRAFFIC_HIT-RUN"
"20001(a)",1,"TRAFFIC_HIT-RUN"
"20001vc",13,"TRAFFIC_HIT-RUN"
"20002",5,"TRAFFIC_HIT-RUN"
"20002vc",2,"TRAFFIC_HIT-RUN"
"207",49,"KIDNAPPING"
"207-kidnapping",1,"KIDNAPPING"
"207(a)",2,"KIDNAPPING"
"207pc-kidnapping",3,"KIDNAPPING"
"211",3671,"ROBBERY"
"211-strongarm",1,"ROBBERY_STRONG-ARM"
"211p.c.",4,"ROBBERY"
"211p.c.-armed",1,"ROBBERY_FIREARM"
"211p.c.-strong",2,"ROBBERY_STRONG-ARM"
"211pc-armed",48,"ROBBERY_FIREARM"
"211pc-knife",1,"ROBBERY_KNIFE"
"211pc-robbery",2,"ROBBERY"
"211pc-simulated",2,"ROBBERY"
"211pc-strong",19,"ROBBERY_STRONG-ARM"
"211pc-strongarm",1,"ROBBERY_STRONG-ARM"
"211sa",8,"ROBBERY_STRONG-ARM"
"212",1,"ROBBERY_INHABITED-DWELLING"
"212.5",153,"ROBBERY_INHABITED-DWELLING"
"212.5(a)",15,"ROBBERY_INHABITED-DWELLING"
"212.5(b)",4,"ROBBERY_INHABITED-DWELLING"
"212.5pc-home",2,"ROBBERY_INHABITED-DWELLING"
"212.5pchome",1,"ROBBERY_INHABITED-DWELLING"
"215",300,"LARCENY_THEFT_VEHICLE_CAR-JACKING"
"215(a",2,"LARCENY_THEFT_VEHICLE_CAR-JACKING"
"215(a)",11,"LARCENY_THEFT_VEHICLE_CAR-JACKING"
"215p.c.",2,"LARCENY_THEFT_VEHICLE_CAR-JACKING"
"215pc-carjacking",4,"LARCENY_THEFT_VEHICLE_CAR-JACKING"
"215pc-simulated",1,"LARCENY_THEFT_VEHICLE_CAR-JACKING"
"220",13,"SEX_RAPE"
"220(a)(1)",1,"SEX_RAPE"
"243",1,"ASSAULT_BATTERY"
"243.4",1,"ASSAULT_BATTERY"
"243.4(a)",1,"ASSAULT_BATTERY"
"243.4(e)(1)",1,"ASSAULT_BATTERY"
"243.6",3,"ASSAULT_BATTERY"
"243(b)",4,"ASSAULT_BATTERY"
"243(c)",2,"ASSAULT_BATTERY"
"243(d)",20,"ASSAULT_BATTERY"
"243(e)(1)",12,"ASSAULT_BATTERY"
"243(e)1",1,"ASSAULT_BATTERY"
"243d",4,"ASSAULT_BATTERY"
"243e",1,"ASSAULT_BATTERY"
"244",6,"ASSAULT_OTHER-WEAPON"
"245",46,"ASSAULT"
"245(",1,"ASSAULT"
"245(a(2)",2,"ASSAULT_FIREARM"
"245(a)",2,"ASSAULT_OTHER-WEAPON"
"245(a)(1",11,"ASSAULT_OTHER-WEAPON"
"245(a)(1)",820,"ASSAULT_OTHER-WEAPON"
"245(a)(1)-stabbing",1,"ASSAULT_KNIFE"
"245(a)(1)p.c.",1,"ASSAULT_OTHER-WEAPON"
"245(a)(1)pc-assault",4,"ASSAULT_OTHER-WEAPON"
"245(a)(1)pc-force",1,"ASSAULT_OTHER-WEAPON"
"245(a)(1)pc-pistol",1,"ASSAULT_FIREARM"
"245(a)(1)pc-shooting",1,"ASSAULT_FIREARM"
"245(a)(1)pc-stabbing",1,"ASSAULT_KNIFE"
"245(a)(1)pc-wooden",1,"ASSAULT_OTHER-WEAPON"
"245(a)(1)pc;",2,"ASSAULT_OTHER-WEAPON"
"245(a)(1)vc",2,"ASSAULT_OTHER-WEAPON"
"245(a)(2",11,"ASSAULT_FIREARM"
"245(a)(2)",761,"ASSAULT_FIREARM"
"245(a)(2)p.c",1,"ASSAULT_FIREARM"
"245(a)(2)p.c.",1,"ASSAULT_FIREARM"
"245(a)(2)pc-shooting",1,"ASSAULT_FIREARM"
"245(a)(4)",10,"ASSAULT_FIREARM"
"245(a)1",6,"ASSAULT_OTHER-WEAPON"
"245(a)1()",1,"ASSAULT_OTHER-WEAPON"
"245(a)1)",4,"ASSAULT_OTHER-WEAPON"
"245(a)2",4,"ASSAULT_FIREARM"
"245(b)",8,"ASSAULT_FIREARM"
"245(c)",16,"ASSAULT_FIREARM"
"245(d)(1)",1,"ASSAULT_FIREARM"
"246",174,"WEAPONS"
"246.3",283,"WEAPONS"
"246.3(a)",11,"WEAPONS"
"246.3pc-discharge",1,"WEAPONS"
"246.5",1,"WEAPONS"
"246(b)",1,"WEAPONS"
"246pc-discharge",1,"WEAPONS"
"246pc(3x)",1,"WEAPONS"
"247",20,"WEAPONS"
"247(b)",60,"WEAPONS"
"247(b)pc-shooting",1,"WEAPONS"
"247(d)",1,"WEAPONS"
"247b",1,"WEAPONS"
"261",69,"SEX_RAPE"
"261.5",2,"SEX_RAPE"
"261.5(a)",6,"SEX_RAPE"
"261.5(d)",2,"SEX_RAPE"
"261(a)(1)",7,"SEX_RAPE"
"261(a)(2)",44,"SEX_RAPE"
"261(a)(3)",6,"SEX_RAPE"
"261(a)(4)",4,"SEX_RAPE"
"261pc-rape",2,"SEX_RAPE"
"273",1,"DOM-VIOL"
"273.5",56,"DOM-VIOL"
"273.5(a)",8,"DOM-VIOL"
"273(a)(1)",2,"DOM-VIOL"
"273(d)",4,"DOM-VIOL"
